# https://blockchair.com/ and whois results
# Bitcoin
IP Address|Port|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
1.116.110.123|8333|/Satoshi:22.0.0/|45090|1.116.64.0/18|CN|apnic|2010-06-11|TENCENT-NET-AP Shenzhen Tencent Computer Systems Company Limited, CN
1.123.48.71|8333|/Satoshi:22.0.0(FutureBit-Apollo-Node)/|1221|1.120.0.0/13|AU|apnic|2010-05-18|ASN-TELSTRA Telstra Corporation Ltd, AU
1.13.7.12|8333|/Satoshi:22.0.0/|45090|1.13.0.0/18|CN|apnic|2010-05-11|TENCENT-NET-AP Shenzhen Tencent Computer Systems Company Limited, CN
1.64.125.65|8333|/Satoshi:22.0.0/|4760|1.64.96.0/19|HK|apnic|2010-06-29|HKTIMS-AP HKT Limited, HK
100.0.15.8|8333|/Satoshi:22.0.0/|701|100.0.0.0/16|US|arin|2010-12-28|UUNET, US
100.1.51.161|8333|/Satoshi:22.0.0(FutureBit-Apollo-Node)/|701|100.1.0.0/16|US|arin|2010-12-28|UUNET, US
100.14.113.48|8333|/Satoshi:22.0.0/|701|100.14.0.0/16|US|arin|2010-12-28|UUNET, US
100.15.139.5|8333|/Satoshi:22.0.0/|701|100.15.0.0/16|US|arin|2010-12-28|UUNET, US
100.15.233.122|8333|/Satoshi:22.0.0(FutureBit-Apollo-Node)/|701|100.15.0.0/16|US|arin|2010-12-28|UUNET, US
100.16.216.41|8333|/Satoshi:22.0.0/|701|100.16.0.0/16|US|arin|2010-12-28|UUNET, US
100.25.60.57|8333|/Satoshi:0.14.99/|14618|100.24.0.0/13|US|arin|2018-01-10|AMAZON-AES, US
100.35.137.46|8333|/Satoshi:22.0.0(FutureBit-Apollo-Node)/|701|100.35.0.0/16|US|arin|2010-12-28|UUNET, US
100.36.166.18|8333|/Satoshi:22.0.0/|701|100.36.0.0/16|US|arin|2010-12-28|UUNET, US
100.36.62.102|8333|/Satoshi:0.21.1(FutureBit-Apollo-Node)/|701|100.36.0.0/16|US|arin|2010-12-28|UUNET, US
100.37.52.87|8333|/Satoshi:22.0.0/|701|100.37.0.0/16|US|arin|2010-12-28|UUNET, US
100.4.84.221|8333|/Satoshi:23.0.0/|701|100.4.0.0/17|US|arin|2010-12-28|UUNET, US
100.40.32.141|8333|/Satoshi:22.0.0/|701|100.40.0.0/17|US|arin|2010-12-28|UUNET, US
101.100.138.227|8333|/Satoshi:0.21.0/|133579|101.100.138.0/24|NZ|apnic|2010-12-22|MYREPNZ-AS-AP MYREPUBLIC LIMITED, NZ
101.100.139.113|8333|/Satoshi:22.0.0/|133579|101.100.139.0/24|NZ|apnic|2010-12-22|MYREPNZ-AS-AP MYREPUBLIC LIMITED, NZ
101.163.189.144|8333|/Satoshi:22.0.0/|1221|101.160.0.0/11|AU|apnic|2010-12-23|ASN-TELSTRA Telstra Corporation Ltd, AU
101.185.155.91|8333|/Satoshi:22.0.0/|1221|101.160.0.0/11|AU|apnic|2010-12-23|ASN-TELSTRA Telstra Corporation Ltd, AU
101.186.147.14|8333|/Satoshi:22.0.0(FutureBit-Apollo-Node)/|1221|101.160.0.0/11|AU|apnic|2010-12-23|ASN-TELSTRA Telstra Corporation Ltd, AU
101.33.80.84|8333|/Satoshi:22.0.0/|132203|101.33.64.0/19|SG|apnic|2010-12-14|TENCENT-NET-AP-CN Tencent Building, Kejizhongyi Avenue, CN
101.43.125.91|8333|/Satoshi:22.0.0/|45090|101.43.64.0/18|CN|apnic|2010-12-14|TENCENT-NET-AP Shenzhen Tencent Computer Systems Company Limited, CN
101.43.219.104|8333|/Satoshi:22.0.0/|45090|101.43.192.0/18|CN|apnic|2010-12-14|TENCENT-NET-AP Shenzhen Tencent Computer Systems Company Limited, CN
101.98.167.205|8333|/Satoshi:22.0.0/|9790|101.98.0.0/16|NZ|apnic|2010-12-22|VOCUSGROUPNZ VocusGroup, NZ
101.98.202.58|8333|/Satoshi:22.0.0/|9790|101.98.0.0/16|NZ|apnic|2010-12-22|VOCUSGROUPNZ VocusGroup, NZ
102.132.197.187|8333|/Satoshi:0.21.0/|37680|102.132.192.0/20|ZA|afrinic|2018-07-04|COOL-IDEAS, ZA
102.65.42.9|8333|/Satoshi:22.0.0(FutureBit-Apollo-Node)/|328453|102.65.0.0/16||other||Web-Africa-Networks-AS, ZA
103.100.44.70|8333|/Satoshi:22.99.0/|134155|103.100.44.0/23|AU|apnic|2017-09-04|TANGIBLETECHNOLOGY-AS-AP TANGIBLE TECHNOLOGY PTY LTD, AU
103.109.101.216|8333|/Satoshi:0.21.1/|206264|103.109.100.0/22|HK|apnic|2018-02-12|AMARUTU-TECHNOLOGY, SC
103.117.146.98|8333|/Satoshi:0.20.0/|45753|103.117.146.0/24|HK|apnic|2018-06-27|NETSEC-HK Netsec Limited, HK
103.123.108.149|8333|/Satoshi:22.0.0/|138066|103.123.108.0/24|ID|apnic|2018-09-26|IDNIC-UNIMA-AS-ID Universitas Negeri Manado, ID
103.129.13.34|8333|/Satoshi:22.0.0/|135556|103.129.13.0/24|TH|apnic|2018-09-04|METRABYTEONE-AS-AP Metrabyte One Company Limited, TH
103.14.245.250|8333|/Satoshi:0.21.1/|24482|103.14.244.0/23|SG|apnic|2012-08-13|SGGS-AS-AP SG.GS, SG
103.147.122.113|8333|/Satoshi:0.17.1/|135932|103.147.122.0/24|VN|apnic|2020-01-10|VNDATA-AS-VN Viet Storage Technology Joint Stock Company, VN
103.16.128.63|8333|/Satoshi:23.99.0/|133159|103.16.128.0/22|AU|apnic|2013-02-06|MAMMOTHMEDIA-AS-AP Mammoth Media Pty Ltd, AU
103.178.236.27|8333|/Satoshi:23.0.0/|51447|103.178.236.0/24|BD|apnic|2021-12-31|ROOTLAYERNET, BD
103.209.12.144|8333|/Satoshi:23.0.0/|136000|103.209.12.0/22|AU|apnic|2016-02-11|LIGHTNING-AS-AP Lightning Broadband Pty Ltd, AU
103.21.1.87|8333|/Satoshi:22.0.0/|38195|103.21.0.0/22|AU|apnic|2012-09-26|SUPERLOOP-AS-AP Superloop, AU
103.215.168.19|8333|/Satoshi:0.21.1/|135206|103.215.168.0/24|IN|apnic|2016-04-25|BLUWAVES-AS Bluwaves Internet Services India P. Ltd, IN
103.227.202.228|8333|/Satoshi:22.0.0/|24516|103.227.202.0/24|AU|apnic|2014-03-14|VIRTUTEL-AS-AP Virtutel Pty Ltd, AU
103.231.191.7|8333|/Satoshi:0.20.0/|17831|103.231.191.0/24|SG|apnic|2014-05-16|CENTERHOP-SG 8 Burn Road# 15-13, Trivex, SG
103.231.42.36|8333|/Satoshi:22.0.0/|18229|103.231.42.0/24|IN|apnic|2014-05-08|CTRLS-AS-IN CtrlS Datacenters Ltd., IN
103.235.230.204|8333|/Satoshi:22.0.0/|4808|103.235.228.0/22|CN|apnic|2014-07-09|CHINA169-BJ China Unicom Beijing Province Network, CN
103.239.19.142|8333|/Satoshi:0.18.0/|131896|103.239.19.0/24|JP|apnic|2014-07-30|SSI-LAB SSI Lab Inc., JP
103.243.173.210|8333|/Satoshi:0.21.1/|59210|103.243.173.0/24|SG|apnic|2013-10-15|PHOENIXNAP-AS-SG1 PhoenixNAP, SG
103.243.173.214|8333|/Satoshi:0.21.1/|59210|103.243.173.0/24|SG|apnic|2013-10-15|PHOENIXNAP-AS-SG1 PhoenixNAP, SG
103.249.111.33|8333|/Satoshi:0.18.1/|133199|103.249.111.0/24|HK|apnic|2013-06-04|SONDERCLOUDLIMITED-AS-AP SonderCloud Limited, HK
103.29.69.57|8333|/Satoshi:0.18.0(bitcore)/|63949|103.29.68.0/22|SG|apnic|2011-06-22|LINODE-AP Linode, LLC, US
103.35.121.72|8333|/Satoshi:22.0.0/|9430|103.35.121.0/24|IN|apnic|2015-08-17|STPI-NOIDA Software Technology Parks of India,Block-IV, IN
103.36.92.112|8333|/therealbitcoin.org:0.9.99.99/|38532|103.36.92.0/22|SG|apnic|2014-08-14|EXABYTES-AS-AP Exabytes Network Singapore Pte. Ltd., SG
103.45.153.169|8333|/Satoshi:0.21.1/|63612|103.45.153.0/24|CN|apnic|2014-12-14|XIAONIAOYUN Shenzhen Qianhai bird cloud computing Co. Ltd., CN
103.47.192.15|8333|/Satoshi:0.21.1/|18403|103.47.192.0/24|VN|apnic|2015-01-06|FPT-AS-AP FPT Telecom Company, VN
103.6.212.28|8333|/therealbitcoin.org:0.9.99.99/|139580|103.6.212.0/24|NZ|apnic|2012-03-07|RIMUHOSTING-AS-AP RIMU HOSTING LIMITED, NZ
103.71.252.18|8333|/Satoshi:0.20.1/|45753|103.71.252.0/24|HK|apnic|2016-08-16|NETSEC-HK Netsec Limited, HK
103.85.37.39|8333|/Satoshi:22.0.0/|134090|103.85.36.0/22|AU|apnic|2017-02-06|XINTEGRATION-AS-AP X INTEGRATION PTY LTD, AU
103.88.92.78|8332|/Satoshi:22.0.0/|137185|103.88.92.0/24|HK|apnic|2017-03-21|HGTHC-AS-AP HK GALAXY TELECOM HOLDING CO.,LIMITED, HK
103.99.168.100|8333|/Satoshi:0.21.1(@wiz)/|54415|103.99.168.0/24|JP|apnic|2017-08-28|WIZ-JP-AS-AP WIZ K.K., JP
103.99.168.130|8333|/Satoshi:0.20.99(@wiz)/|54415|103.99.168.0/24|JP|apnic|2017-08-28|WIZ-JP-AS-AP WIZ K.K., JP
103.99.168.140|8333|/Satoshi:0.21.2(@wiz)/|54415|103.99.168.0/24|JP|apnic|2017-08-28|WIZ-JP-AS-AP WIZ K.K., JP
103.99.170.210|8333|/Satoshi:0.21.2(@wiz)/|54415|103.99.170.0/24|JP|apnic|2017-08-28|WIZ-JP-AS-AP WIZ K.K., JP
103.99.170.220|8333|/Satoshi:0.21.0(@wiz)/|54415|103.99.170.0/24|JP|apnic|2017-08-28|WIZ-JP-AS-AP WIZ K.K., JP
104.0.12.27|8333|/Satoshi:0.21.1/|7018|104.0.0.0/12|US|arin|2014-01-16|ATT-INTERNET4, US
104.1.169.215|8333|/Satoshi:23.0.0/|7018|104.0.0.0/12|US|arin|2014-01-16|ATT-INTERNET4, US
104.1.70.19|8333|/Satoshi:22.0.0/|7018|104.0.0.0/12|US|arin|2014-01-16|ATT-INTERNET4, US
